Number ,tweetDate,twitterId,Code,text,tweetLink,RT,Likes,timestamp,query
38,Thu Mar 30 20:04:57 +0000 2023,9.12365E+17,,"4 - AstraZeneca va a convertir Barcelona en una referencia.
5 - Grandes empresas Agbar Naturgy o CaixaBank apoyan primera aceleradora medioambiental en el mediterráneo.
...Pues son noticias reales de hoy!!!",https://twitter.com/Santiag47117898/status/1641531981010706444,,,6/3/23 10:22,astrazeneca barcelona
39,Fri Mar 24 17:34:39 +0000 2023,3308093475,,#AstraZeneca invertirá 800 millones en un 'hub' de innovación en salud en Barcelona https://t.co/R4GXKyatS9 #PMFarma #empleo #salud via @pmfarma,https://twitter.com/Mr_C_Wadd/status/1639319833165586432,,,6/3/23 10:22,astrazeneca barcelona
40,Tue Mar 28 10:03:07 +0000 2023,69679441,,"💉AstraZeneca invertirà 800 M€ en cinc anys en el seu nou hub de Barcelona. Es tracta de la inversió en recerca més gran de la història de Catalunya però es computarà aquí o a Madrid (donat que és on AZ té la seu)? 
El misteri by @RigolAlbert 
https://t.co/eS1GH1Nw6R",https://twitter.com/carlotaserra/status/1640655750593671169,,,6/3/23 10:22,astrazeneca barcelona
41,Sun Mar 26 20:20:29 +0000 2023,104849271,,"#BonaNotícia: inversió històrica de 800 M€ d’ #AstraZeneca a #Barcelona. Magnífica aposta per a la #biomedicina a #Catalunya !!
👇👇👇👇 https://t.co/PcNtDXkrfC",https://twitter.com/ramontremosa/status/1640086340476850179,,,6/3/23 10:22,astrazeneca barcelona
42,Fri Mar 24 20:48:55 +0000 2023,244095311,,AstraZeneca tria Barcelona per obrir el nou Centre europeu d’R+D biomèdica – M'agrada Catalunya https://t.co/zqMHlBl3Ud,https://twitter.com/maguivs/status/1639368720102604806,,,6/3/23 10:22,astrazeneca barcelona
43,Mon Mar 27 06:11:31 +0000 2023,1194745704,,"Inversión histórica de @AstraZeneca en #Barcelona
(800M€ y contratación de 1.000 profesionales de alto nivel académico). 
Barcelona hub europeo en Ciencias de la Salud. 
Entrevista de Iñaki de las Heras a Rick Suárez vía @LaVanguardia https://t.co/wPLqYIwJSu",https://twitter.com/agenersurrell/status/1640235077593358336,,,6/3/23 10:22,astrazeneca barcelona
44,Fri Mar 24 20:27:23 +0000 2023,1.21422E+18,,@Roberto_Montesa @ArquerodeItuero Pues AstraZeneca abre un centro de investigación de enfermedades raras en Barcelona que creará 1.000 puestos de trabajo…,https://twitter.com/aljawarmilsim/status/1639363302504423429,,,6/3/23 10:22,astrazeneca barcelona
45,Tue Mar 28 08:41:35 +0000 2023,305816477,,AstraZeneca invertirá 800 millones en un ‘hub’ de investigación en Barcelona con mil nuevos puestos de trabajo https://t.co/Ul7u2kTP9c,https://twitter.com/rachescat/status/1640635230385045507,,,6/3/23 10:22,astrazeneca barcelona
46,Mon Mar 27 13:01:58 +0000 2023,230802392,,Some good new for Barcelona with the creation of 1000 new AstraZeneca #pharmaceutical #jobs as part of an €800m #investment https://t.co/vBGVQfDkL8,https://twitter.com/PaulBeachAL/status/1640338372320284672,,,6/3/23 10:22,astrazeneca barcelona
47,Mon Mar 27 18:01:52 +0000 2023,230706367,,@agenersurrell @AstraZeneca @LaVanguardia Muy buena noticia para un padre como yo con un hijo estudiando primero del doble grado en matemáticas y física y con la esperanza de que no se vea obligado en el futuro a irse de Barcelona para desarrollar su carrera laboral.,https://twitter.com/Xav_CG/status/1640413843179356185,,,6/3/23 10:22,astrazeneca barcelona
48,Mon Mar 27 06:38:45 +0000 2023,2854680832,,@agenersurrell @AstraZeneca @LaVanguardia “Barcelona ya es una referencia en la investigación clínica” @CataloniaBioHT @biocat_en,https://twitter.com/montse_barcelo/status/1640241930125692929,,,6/3/23 10:22,astrazeneca barcelona
49,Mon Mar 27 09:31:33 +0000 2023,1034531058,,"A l'entrevista a Rock Suarez director d'AstraZeneca queda molt clar que la inversió està condicionada a ""l'estabilitat política"".
Rubrica insistint amb el marc territorial de Barcelona com a ciutat puntera espanyola.
I ERC i Junts aplaudint! https://t.co/JRMMQqdP4I",https://twitter.com/bashachanguerra/status/1640285418510864385,,,6/3/23 10:22,astrazeneca barcelona
